Tag,Eng Units,Archive Zero,Archive Span,Observed Zero,Observed Span,Flag,Status,Snapshot Start Time,Snapshot Count,Scan Rate (Observed),Archive Exc Dev,Archive Exc Min,Archive Exc Max,Archive Comp Dev,Archive Comp Min,Archive Comp Max,Archive Fidelity(%),Archive Count,Archive Ratio(%),Archive Data Storage(MB),Recommended Exc Dev,Recommended Exc Min,Recommended Exc Max,Recommended Comp Dev,Recommended Comp Min,Recommended Fidelity(%),Recommended Count,Recommended Ratio(%),Recommended Data Storage(MB),Annual Data Storage Savings(MB),Fidelity Change(%)
R_0ZLI14866-PV,PCT,0,100,4.294382,18.16308,-,-,10/18/2019 1:54:14 AM,997616,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,995706,99.80854,,0.01009206,0 s,1 m,0.02018412,0 s,97.1,7505,0.7522935,,,-2.9
R_5ZFIC6128A-SP,GPM,0,3000,518.0291,882.5408,Check Signal,-,10/10/2019 9:22:40 AM,3978,3 (3) s,0.003,0 s,1 m,0.006,0 s,5 m,99.3,3965,99.6732,,3.0875,0 s,1 m,6.175,0 s,95.6,3954,99.39668,,,-3.7
R_0ZLIC3591-VL,%,0,100,0,50,-,Stale,10/10/2019 9:22:56 AM,142,1 (1) s,0.5,0 s,10 m,1,0 s,8 h,100,69,48.59155,,0,0 s,10 m,0,0 s,100,70,49.29577,,,0
P_0DFI4500_TOTAL-PV,GALLONS,0,10000,0,509568.6,-,Stale,10/18/2019 4:14:53 PM,997229,4 (4) s,50,0 s,10 m,100,0 s,8 h,99.2,351,0.03519753,,185.5093,0 s,10 m,371.0187,0 s,97,206,0.02065724,,,-2.2
R_6ZLIC15024-VL,,0,100,28.93694,22.74185,-,-,10/21/2019 8:00:05 PM,998009,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,993703,99.56854,,0.03168217,0 s,1 m,0.06336433,0 s,85.6,191278,19.16596,,,-14.4
R_5RN16120-PV,deg F,0,2000,503.026,44.45612,Hard to Compress,-,10/10/2019 9:15:27 AM,304666,7 (7) s,1,0 s,10 m,2,0 s,8 h,59,141531,46.45448,,0.06606995,0 s,10 m,0.1321399,0 s,97.8,288891,94.8222,,,38.8
R_5RLIC6284-VL,.1 PPM,0,100,0,0.12916,-,-,10/10/2019 9:17:52 AM,3840,3 (3) s,0,0 s,10 m,0.06,0 s,8 h,13.9,89,2.317708,,1.63338E-05,0 s,10 m,3.266759E-05,0 s,87.5,156,4.0625,,,73.6
R_6ZLI15322-PV,PCT,0,100,33.73829,21.45088,-,-,10/20/2019 11:33:08 AM,997975,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,995004,99.7023,,0.04540092,0 s,1 m,0.09080185,0 s,89,88138,8.831684,,,-11
6ZCI15020.PV,uS/cm,0,20000,35.62867,20941.8,-,-,10/18/2019 1:01:26 AM,997966,3 (3) s,50,0 s,10 m,100,0 s,8 h,98.1,345,0.03457031,,0.5092805,0 s,10 m,1.018561,0 s,87,406308,40.71361,,,-11.1
R_4RTI9011A-PV,DEGF,0,250,83.21744,38.12966,-,-,10/10/2019 9:23:23 AM,4894,7 (7) s,0,0 s,10 m,2.5,0 s,8 h,51.7,114,2.329383,,0.1504833,0 s,10 m,0.3009666,0 s,85.1,2211,45.17777,,,33.4
R_0ZPI14963B-PV,PSI,0,150,-1.045829,61.57914,-,-,9/26/2019 10:33:42 AM,147643,1 (1) s,0.0001,0 s,10 m,0.0002,0 s,8 h,100,147425,99.85235,,0.06896231,0 s,10 m,0.1379246,0 s,85.2,66110,44.77693,,,-14.8
R_6ZDIC15154-VL,,0,100,10,35.23679,-,-,10/24/2019 6:31:56 AM,997485,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,997066,99.958,,0.0511254,0 s,1 m,0.1022508,0 s,86.4,33911,3.39965,,,-13.6
0HCR78PLC.HRTBT,COUNT,0,60,0,59,Hard to Compress,-,10/25/2019 12:55:59 AM,997615,6 (6) s,0,0 s,10 m,0,0 s,8 h,100,997613,99.99979,,0.0225,0 s,10 m,0.045,0 s,100,997613,99.99979,,,0
R_5ZPI14938-PV,PSI,0,45,7.348288,11.85361,Check Signal,-,10/15/2019 11:48:00 AM,6933,2 (2) s,0,0 s,10 m,0.09999999,0 s,8 h,84.3,2837,40.92024,,0.0214887,0 s,10 m,0.04297739,0 s,86.8,4398,63.43574,,,2.5
R_6ZBPR15074-PV,DEGF,0,35,9.576416,11.34878,-,-,10/24/2019 5:34:33 AM,997302,2 (2) s,3.5E-05,0 s,1 m,6.999999E-05,0 s,5 m,100,997027,99.97243,,0.0250116,0 s,1 m,0.05002319,0 s,85.2,499562,50.09134,,,-14.8
R_4RTI7110-PV,DEGF,0,500,307.6885,124.0543,Hard to Compress,-,10/10/2019 9:16:32 AM,42905,7 (7) s,0,0 s,10 m,5,0 s,8 h,30.7,5112,11.91469,,0.06164478,0 s,10 m,0.1232896,0 s,96.5,38768,90.35777,,,65.8
R_6ZLIC15072-VL,,0,100,45.01473,49.4994,Check Signal,-,10/24/2019 7:25:28 PM,997346,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,997302,99.99559,,0.03998318,0 s,1 m,0.07996636,0 s,89,702180,70.40485,,,-11
R_5RFIC9917-SP,,0,1200,185.1994,997.9807,-,-,10/10/2019 9:16:21 AM,333586,3 (3) s,0,0 s,1 m,0.72,0 s,5 m,98.8,255469,76.58265,,1.787155,0 s,1 m,3.574311,0 s,85.8,125983,37.76627,,,-13
R_4RTI1369D-PV,DEGF,0,1000,413.2055,403.2379,-,-,10/10/2019 9:16:19 AM,35432,7 (7) s,0,0 s,10 m,10,0 s,8 h,60,3098,8.743509,,0.4700434,0 s,10 m,0.9400867,0 s,85.8,14222,40.13886,,,25.8
R_4RTI1369B-PV,DEGF,0,1000,402.5796,406.1016,-,-,10/10/2019 9:16:23 AM,30540,7 (7) s,0,0 s,10 m,10,0 s,8 h,60.4,1781,5.831696,,0.467293,0 s,10 m,0.9345859,0 s,85.4,10898,35.68435,,,25
R_5RTI2040C-PV,DEGF,500,350,653.2163,173.8477,-,-,10/10/2019 9:16:29 AM,120307,2 (2) s,1.75,0 s,10 m,3.5,0 s,8 h,67.9,6128,5.093636,,0.2179363,0 s,10 m,0.4358726,0 s,88,24837,20.64468,,,20.1
R_5RWI2041G1-PV,LBS,-100000,200000,-6456.194,1276.379,Hard to Compress,-,10/10/2019 9:17:22 AM,3771,2 (2) s,0,0 s,10 m,0,0 s,8 h,100,3770,99.97348,,3.121747,0 s,10 m,6.243494,0 s,98.9,3636,96.42005,,,-1.1
P_2PFIC5832-SP,SCFH,0,400,0,400,-,-,9/26/2019 10:36:57 AM,78487,4 (4) s,0.0004,0 s,1 m,0.0008,0 s,5 m,100,78443,99.94394,,0.8954155,0 s,1 m,1.790831,0 s,85,42067,53.59741,,,-15
R_5RTI2040H-PV,DEGF,500,350,636.6415,191.4475,-,-,10/10/2019 9:16:12 AM,573527,2 (2) s,1.75,0 s,10 m,3.5,0 s,8 h,67.9,5318,0.927245,,0.1016583,0 s,10 m,0.2033167,0 s,93.2,40112,6.993917,,,25.3
0HCI15003.PV,uS/cm,0,20050,20987.52,23.54102,Hard to Compress,-,10/15/2019 11:48:31 AM,3034,6 (6) s,0,0 s,10 m,0,0 s,8 h,99.9,2974,98.02242,,0.1156055,0 s,10 m,0.2312109,0 s,97.4,2427,79.99341,,,-2.5
P_5OFIC15409-VL,PCT,0,100,0,100,-,-,10/15/2019 11:47:20 AM,40732,4 (4) s,0,0 s,10 m,0.5,0 s,8 h,86.7,4595,11.28106,,0.1292728,0 s,10 m,0.2585457,0 s,85.1,8488,20.83865,,,-1.6
R_5RFIC6742A-SP,GPM,0,100,80,10,Hard to Compress,Stale,10/10/2019 9:22:06 AM,3771,3 (3) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,3769,99.94696,,0.005,0 s,1 m,0.01,0 s,99.7,3769,99.94696,,,-0.3
R_4RFI9940-PV,GPM,0,300,0,310.875,-,-,9/25/2019 7:22:24 AM,99878,7 (7) s,0,0 s,18 h,3,0 s,8 h,88.6,43883,43.9366,,1.450884,0 s,18 h,2.901769,0 s,85.6,45064,45.11905,,,-3
