Tag,Eng Units,Archive Zero,Archive Span,Observed Zero,Observed Span,Flag,Status,Snapshot Start Time,Snapshot Count,Scan Rate (Observed),Archive Exc Dev,Archive Exc Min,Archive Exc Max,Archive Comp Dev,Archive Comp Min,Archive Comp Max,Archive Fidelity(%),Archive Count,Archive Ratio(%),Archive Data Storage(MB),Recommended Exc Dev,Recommended Exc Min,Recommended Exc Max,Recommended Comp Dev,Recommended Comp Min,Recommended Fidelity(%),Recommended Count,Recommended Ratio(%),Recommended Data Storage(MB),Annual Data Storage Savings(MB),Fidelity Change(%)
R_6ZTIC15224-PV,DEGF,32,392,226.3123,35.27461,-,-,10/24/2019 4:22:11 AM,997799,2 (2) s,0.000392,0 s,1 m,0.000784,0 s,5 m,100,997108,99.93075,,0.03064053,0 s,1 m,0.06128106,0 s,85.4,344134,34.48931,,,-14.6
R_5ZFIC6158-VL,KPPH,0,100,35.34749,47.2192,-,-,10/10/2019 9:17:24 AM,54095,3 (3) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,54024,99.86875,,0.1208951,0 s,1 m,0.2417902,0 s,86.2,25346,46.85461,,,-13.8
R_5RTI6365A-PV,,0,600,171.7835,247.3608,-,-,10/10/2019 9:16:34 AM,397637,2 (2) s,0,0 s,10 m,0.36,0 s,8 h,95.2,16048,4.035841,,0.1929648,0 s,10 m,0.3859296,0 s,87.2,8411,2.115246,,,-8
P_0PPIC6672-VL,%,0,100,7.521843E-22,65.83047,-,-,10/10/2019 9:18:00 AM,476858,4 (4) s,0.0001,0 s,10 m,0.0002,0 s,8 h,100,476597,99.94527,,0.1004469,0 s,10 m,0.2008938,0 s,85.6,240178,50.36678,,,-14.4
P_2PBJI11084-PV,INT,0,64,-2.32,61.37196,-,-,9/26/2019 10:37:31 AM,11768,4 (4) s,0.32,0 s,10 m,0.64,0 s,8 h,94.8,4724,40.14276,,0.2622829,0 s,10 m,0.5245659,0 s,95.9,5555,47.20428,,,1.1
R_4RFIC1276A-VL,%,0,100,0,100,Check Signal,-,10/10/2019 9:15:48 AM,113285,7 (7) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,113173,99.90113,,0.02093955,0 s,1 m,0.0418791,0 s,95.7,101147,89.28543,,,-4.3
R_5RTIC6210-VL,,0,100,38.90583,61.09417,-,-,10/10/2019 9:17:21 AM,42054,3 (3) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,41429,98.51382,,0.02500942,0 s,1 m,0.05001885,0 s,92.6,8800,20.92548,,,-7.4
R_5RWI2041H6-PV,LBS,-100000,200000,146.7047,1521.753,Hard to Compress,Stale,10/10/2019 9:26:08 AM,3767,2 (2) s,0,0 s,10 m,0,0 s,8 h,100,3766,99.97345,,3.354017,0 s,10 m,6.708034,0 s,98.2,3556,94.39873,,,-1.8
R_5ZFI6383A-PV,GPM,0,10000,6168.395,2301.668,-,Stale,10/10/2019 9:16:48 AM,14786,2 (2) s,0,0 s,10 m,200,0 s,8 h,45,218,1.474368,,8.997871,0 s,10 m,17.99574,0 s,85.8,7839,53.01637,,,40.8
0RTR6365A.PV,DEGF,0,600,171.7835,247.3608,-,-,10/10/2019 9:13:09 AM,397659,3 (3) s,0.1881969,0 s,18 h,0.3763938,0 s,8 h,94.8,9844,2.475488,,0.1928444,0 s,18 h,0.3856889,0 s,87.2,8441,2.122673,,,-7.6
R_6ZFI15152X-PV,GPM,0,5000,238.7067,3157.577,-,-,10/24/2019 7:05:54 PM,997616,2 (2) s,0.005,0 s,1 m,0.01,0 s,5 m,100,997576,99.99599,,3.605296,0 s,1 m,7.210591,0 s,85.3,350482,35.13195,,,-14.7
R_6ZLIC15109-PV,PCT,0,100,14.56189,68.20863,-,-,10/24/2019 6:17:01 PM,997263,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,997201,99.99378,,0.04213297,0 s,1 m,0.08426594,0 s,85.8,398935,40.00299,,,-14.2
R_6ZCI14971-PV,uS/cm,0,20000,110.9177,12101.64,-,-,10/16/2019 1:47:02 AM,998720,2 (2) s,0.02,0 s,1 m,0.04,0 s,5 m,100,997333,99.86112,,0.9256344,0 s,1 m,1.851269,0 s,91.7,88916,8.902996,,,-8.3
R_5RTI6317N-PV,,0,200,93.85846,46.90485,-,-,10/10/2019 9:18:04 AM,10274,2 (2) s,0,0 s,10 m,0.12,0 s,8 h,92.5,758,7.377847,,0.04043264,0 s,10 m,0.08086529,0 s,87.5,1088,10.58984,,,-5
R_6ZPI15028-PV,PSIA,0,45,10.55517,15.11451,-,-,10/15/2019 11:45:27 AM,695109,2 (2) s,4.5E-05,0 s,1 m,9E-05,0 s,5 m,100,694809,99.95684,,0.0171756,0 s,1 m,0.0343512,0 s,85.9,11868,1.707358,,,-14.1
R_5RTIC6721-PV,DEGF,100,200,273.6221,7.402008,Hard to Compress,-,10/10/2019 9:16:18 AM,179402,2 (2) s,0.0002,0 s,1 m,0.0004,0 s,5 m,99.8,178936,99.74025,,0.006774292,0 s,1 m,0.01354858,0 s,98.4,168344,93.83619,,,-1.4
R_5ZFIC15013-PV,GPM,0,4000,450.6683,3463.258,Check Signal,-,10/15/2019 11:45:30 AM,262781,2 (2) s,0,0 s,10 m,0,0 s,8 h,100,262778,99.99886,,12.36222,0 s,10 m,24.72444,0 s,89,185245,70.49406,,,-11
R_6ZII16315-PV,%ML,0,150,-0.01321693,43.57095,-,-,10/22/2019 1:03:03 PM,998212,2 (2) s,0.00015,0 s,1 m,0.0003,0 s,5 m,100,995792,99.75756,,0.1374733,0 s,1 m,0.2749466,0 s,85.9,131994,13.22304,,,-14.1
R_6ZII16309-PV,%ML,0,100,82.29622,14.26611,Hard to Compress,-,10/16/2019 5:09:21 PM,998943,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,998124,99.91801,,0.0002371216,0 s,1 m,0.0004742432,0 s,100,994338,99.53901,,,0
R_6ZDIC15154-PV,%DS,10,20,13.71314,2.874711,Check Signal,-,10/24/2019 12:32:13 PM,997828,2 (2) s,2E-05,0 s,1 m,4E-05,0 s,5 m,100,997720,99.98917,,0.003902998,0 s,1 m,0.007805997,0 s,88.7,660725,66.21632,,,-11.3
P_3OHS15412-TRAV_T,,0,5000,0,11989.5,-,Stale,10/15/2019 6:11:16 PM,224770,4 (4) s,0,0 s,10 m,0,0 s,8 h,100,223412,99.39583,,3.974,0 s,10 m,7.948,0 s,94.9,43,0.01913067,,,-5.1
R_6ZDI15232A-PV,%DS,30,75,30.27007,44.76608,-,-,10/24/2019 9:57:00 AM,996780,2 (2) s,7.5E-05,0 s,1 m,0.00015,0 s,5 m,100,996655,99.98746,,0.03041346,0 s,1 m,0.06082692,0 s,85.1,217688,21.83912,,,-14.9
R_5ZFIC1450B-VL,%,0,100,0,100,Hard to Compress,Stale,10/10/2019 9:20:50 AM,3837,2 (2) s,0,0 s,1 m,0.0625,0 s,5 m,99.5,3827,99.73938,,0.12,0 s,1 m,0.24,0 s,96.4,3824,99.66119,,,-3.1
R_6ZFIC15368-PV,GPM,0,300,21.0923,161.3766,-,-,10/24/2019 5:50:51 PM,996894,2 (2) s,0.0003,0 s,1 m,0.0006,0 s,5 m,100,996683,99.97884,,0.1811229,0 s,1 m,0.3622458,0 s,85.9,142672,14.31165,,,-14.1
R_6ZAI15322-PV,uMHO,0,2000,30.67882,2069.315,-,-,10/16/2019 6:42:40 PM,999099,2 (2) s,0.002,0 s,1 m,0.004,0 s,5 m,100,997385,99.82845,,0.1013563,0 s,1 m,0.2027125,0 s,85.6,89003,8.908326,,,-14.4
R_6ZDTI15074-PV,DEGF,0,400,0,7.730408,-,-,10/24/2019 1:21:28 AM,997740,2 (2) s,0.0004,0 s,1 m,0.0008,0 s,5 m,100,997264,99.95229,,0.0241982,0 s,1 m,0.04839639,0 s,85.2,417864,41.88105,,,-14.8
P_0OCIT15404-S_PV,GPM,0,18,-0.006177664,8.004747,Hard to Compress,-,10/15/2019 11:46:17 AM,401986,4 (4) s,0,0 s,10 m,0.5,0 s,8 h,47.9,822,0.2044847,,0.002854927,0 s,10 m,0.005709853,0 s,98.6,363886,90.52206,,,50.7
P_1OFIC15405-SP,GPM,0,90,0,90,Check Signal,-,10/15/2019 11:47:26 AM,65470,4 (4) s,0,0 s,10 m,0.5000001,0 s,8 h,93.1,37473,57.2369,,0.1762477,0 s,10 m,0.3524954,0 s,91.3,40886,62.44998,,,-1.8
R_5ZII8120.PV,,-1000,1000,3.540983,0.5901649,-,-,10/15/2019 11:48:02 AM,2651,5 (5) s,0,0 s,10 m,0,0 s,8 h,100,2010,75.82045,,0.001967211,0 s,10 m,0.003934422,0 s,100,1929,72.76499,,,0
R_5RHIC6917-SP,%,-100,200,60.12688,66.53572,-,-,10/15/2019 11:45:50 AM,9409,7 (7) s,2,0 s,10 m,4,0 s,8 h,62,94,0.9990435,,0.2846629,0 s,10 m,0.5693258,0 s,85.9,2454,26.08141,,,23.9
R_6ZFIC15134-VL,,0,100,15.83482,56.04892,-,-,10/22/2019 8:14:33 AM,997856,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,987492,98.96137,,0.006291649,0 s,1 m,0.0125833,0 s,95,123451,12.37162,,,-5
5RFR6460B.PV,GPM,0,120,0,25.23121,-,-,9/26/2019 10:37:40 AM,114346,3 (3) s,0,0 s,18 h,1.2,0 s,8 h,67.6,314,0.2746052,,0.04528869,0 s,18 h,0.09057737,0 s,85.1,18391,16.08364,,,17.5
R_5RPIC6373-VL,%,0,100,98.90283,1.097168,Hard to Compress,-,10/10/2019 9:19:17 AM,3769,3 (3) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,3767,99.94694,,0.000548584,0 s,1 m,0.001097168,0 s,99.6,3767,99.94694,,,-0.4
R_3RLIC7644-VL,%,0,100,0,100,-,-,10/10/2019 9:16:52 AM,11697,3 (3) s,1,0 s,10 m,2,0 s,8 h,71.7,228,1.949218,,0.08334321,0 s,10 m,0.1666864,0 s,86.1,4765,40.73694,,,14.4
R_4RTI7112-PV,DEGF,0,400,64.27896,39.42624,-,-,10/10/2019 9:17:33 AM,5188,7 (7) s,0,0 s,10 m,4,0 s,8 h,44.6,101,1.9468,,0.1517704,0 s,10 m,0.3035408,0 s,85.1,2215,42.69468,,,40.5
R_5RFIC6203A-PV,,0,1000,0,0.4220009,Hard to Compress,-,10/10/2019 9:16:00 AM,165151,2 (2) s,0,0 s,10 m,0.5999999,0 s,8 h,7.02,79,0.04783501,,0.0004751087,0 s,10 m,0.0009502174,0 s,100,165136,99.99091,,,93
R_5RTI6316E-PV,,0,200,91.81485,21.81705,-,-,10/10/2019 9:16:14 AM,183918,2 (2) s,0,0 s,10 m,0.12,0 s,8 h,89.8,46086,25.05791,,0.05761602,0 s,10 m,0.115232,0 s,85.6,45506,24.74255,,,-4.2
R_5RN16119-PV,deg F,0,2000,505.3858,53.08032,Hard to Compress,-,10/10/2019 9:15:33 AM,307315,7 (7) s,1,0 s,10 m,2,0 s,8 h,60.8,140131,45.59849,,0.0697998,0 s,10 m,0.1395996,0 s,97.8,291116,94.72887,,,37
R_5RLIC6240-PV,.1 PPM,0,100,55.68918,16.62391,-,-,10/10/2019 9:16:25 AM,193455,2 (2) s,0,0 s,1 m,0.0002,0 s,5 m,100,192103,99.30113,,0.01202093,0 s,1 m,0.02404185,0 s,85.5,87416,45.18674,,,-14.5
R_6ZTI15097-PV,DEGF,32,392,189.965,20.7236,-,-,10/24/2019 1:51:52 AM,996855,2 (2) s,0.000392,0 s,1 m,0.000784,0 s,5 m,100,995743,99.88845,,0.03333333,0 s,1 m,0.06666666,0 s,85.6,278542,27.94208,,,-14.4
R_6ZLIC15333-SP,,0,100,9,87,Check Signal,Stale,10/15/2019 3:29:51 PM,121,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,96.7,117,96.69421,,0.117,0 s,1 m,0.234,0 s,93.8,112,92.56198,,,-2.9
0HFI15001.PV,GPM,0,1000,-0.2739429,545.425,-,-,10/15/2019 11:53:19 AM,67727,1 (1) s,0,0 s,10 m,0,0 s,8 h,99.9,66869,98.73315,,1.965512,0 s,10 m,3.931024,0 s,85.4,24030,35.48068,,,-14.5
R_5RDIC6237-SP,BE,0,30,16,4.5,Hard to Compress,-,10/10/2019 9:17:05 AM,3889,7 (7) s,3E-05,0 s,1 m,6E-05,0 s,5 m,99.5,3878,99.71716,,0.02,0 s,1 m,0.04,0 s,98,3869,99.48573,,,-1.5
P_2PPI4110C-PV,PSIG,0,300,3.278339,176.4706,-,-,9/26/2019 10:33:36 AM,29060,4 (4) s,1.5,0 s,10 m,3,0 s,8 h,77,3067,10.55403,,0.4357023,0 s,10 m,0.8714046,0 s,85.5,13373,46.01858,,,8.5
R_5ZLIC6143-VL,%,0,100,19.26602,25.80259,Check Signal,-,10/10/2019 9:16:39 AM,28125,3 (3) s,0,0 s,1 m,0.0625,0 s,5 m,97.7,23186,82.43911,,0.05369759,0 s,1 m,0.1073952,0 s,88.2,19595,69.67111,,,-9.5
R_5RRI7031-PV,%,5,90,39.17616,29.37514,-,-,10/10/2019 9:16:34 AM,356808,2 (2) s,0,0 s,10 m,0.9,0 s,8 h,66.1,293,0.08211699,,0.04484057,0 s,10 m,0.08968115,0 s,88.2,23196,6.500975,,,22.1
R_5ZFI6383-PV,GPM,0,12130,6690.725,2848.787,Hard to Compress,-,10/10/2019 9:19:15 AM,55248,2 (2) s,0,0 s,10 m,121.3,0 s,8 h,57.6,8256,14.94353,,7.314639,0 s,10 m,14.62928,0 s,96.5,50404,91.23226,,,38.9
R_5RWI2041H3-PV,LBS,-100000,200000,-267.7717,1265.396,Hard to Compress,Stale,10/10/2019 9:24:28 AM,3767,2 (2) s,0,0 s,10 m,0,0 s,8 h,100,3766,99.97345,,3.204988,0 s,10 m,6.409976,0 s,98.6,3605,95.69949,,,-1.4
R_5ZFIC6198-VL,%,0,100,20.74261,22.73362,Check Signal,-,10/10/2019 9:16:24 AM,276456,3 (3) s,0.0001,0 s,1 m,0.0002,0 s,5 m,99.9,276129,99.88171,,0.1191742,0 s,1 m,0.2383484,0 s,92.1,223494,80.84252,,,-7.8
R_4RFIC9932-SP,GPM,0,1200,0,977.6025,-,-,10/10/2019 9:15:48 AM,42410,7 (7) s,0,0 s,1 m,0.75,0 s,5 m,99.4,38235,90.15562,,1.780853,0 s,1 m,3.561706,0 s,86,23880,56.30748,,,-13.4
R_4RCI9969B-PV,UMHO,0,20,0.77739,30.31011,-,-,10/10/2019 9:15:50 AM,5261,7 (7) s,0,0 s,18 h,0.2,0 s,8 h,97,1145,21.76392,,0.02392068,0 s,18 h,0.04784136,0 s,86.6,1608,30.56453,,,-10.4
R_4RPI1298-PV,INWC,0,20,-0.4604221,2.320621,Hard to Compress,-,10/10/2019 9:15:29 AM,404349,7 (7) s,0,0 s,18 h,0.2,0 s,8 h,38.6,35056,8.669739,,0.003243458,0 s,18 h,0.006486916,0 s,99.2,396056,97.94905,,,60.6
R_4RN32209-PV,DEGF,0,800,415,77,-,-,10/10/2019 9:17:35 AM,36541,4 (4) s,0,0 s,10 m,0.008,0 s,8 h,97.8,22700,62.122,,0.07000001,0 s,10 m,0.14,0 s,99.1,22323,61.09029,,,1.3
R_5RII6178,Amps,0,50,76.25606,26.00285,Hard to Compress,-,10/15/2019 11:45:42 AM,211733,3 (3) s,0,0 s,10 m,0.5,0 s,8 h,88.7,178015,84.07523,,0.02213069,0 s,10 m,0.04426138,0 s,99.7,210459,99.3983,,,11
R_4RTI9011B-PV,DEGF,100,300,273.7906,51.07391,Check Signal,-,10/10/2019 9:16:02 AM,7179,7 (7) s,0,0 s,10 m,3,0 s,8 h,40.1,130,1.810837,,0.06097339,0 s,10 m,0.1219468,0 s,93.5,6007,83.67461,,,53.4
R_5ZLIC6141-VL,%,0,100,0.1591603,99.84084,Check Signal,-,10/10/2019 9:16:29 AM,280233,3 (3) s,0,0 s,1 m,0.0625,0 s,5 m,99.8,271323,96.8205,,0.1127889,0 s,1 m,0.2255778,0 s,95.3,248917,88.82501,,,-4.5
R_5RTI6352E-PV,,0,1000,663.7212,231.1228,-,-,10/10/2019 9:16:23 AM,35712,2 (2) s,0,0 s,10 m,0.5999999,0 s,8 h,93.1,5868,16.43145,,0.2881992,0 s,10 m,0.5763985,0 s,88.2,5972,16.72267,,,-4.9
R_5ZFIC9820-SP,GPM,0,500,0,500,Check Signal,-,10/10/2019 9:24:03 AM,4640,3 (3) s,0,0 s,10 m,5,0 s,8 h,98.4,142,3.060345,,0.006211699,0 s,10 m,0.0124234,0 s,88.7,3151,67.90948,,,-9.7
R_5ZLI6155-PV,FT,0,26,14.43194,9.198071,-,-,10/10/2019 9:23:37 AM,7154,3 (3) s,0.0026,0 s,10 m,0.0026,0 s,8 h,99.9,6092,85.15516,,0.02276419,0 s,10 m,0.04552837,0 s,85.3,1475,20.61784,,,-14.6
R_5RPIC6484-VL,,0,100,85,10,Hard to Compress,-,10/10/2019 9:25:24 AM,3774,3 (3) s,0,0 s,1 m,0.06,0 s,5 m,100,3772,99.94701,,0.005,0 s,1 m,0.01,0 s,99.9,3772,99.94701,,,-0.1
R_5RTI2040I-PV,DEGF,500,350,647.9043,175.3982,-,-,10/10/2019 9:16:10 AM,251239,2 (2) s,1.75,0 s,10 m,3.5,0 s,8 h,66.7,4971,1.978594,,0.09851734,0 s,10 m,0.1970347,0 s,93.1,36049,14.34849,,,26.4
R_6Z2ATIME_ACC,HOURS,0,8,0,1.000278,-,Stale,10/15/2019 11:54:31 AM,17029,2 (2) s,8E-06,0 s,1 m,1.6E-05,0 s,5 m,100,12633,74.18522,,0.0007275028,0 s,1 m,0.001455006,0 s,99.3,1155,6.782547,,,-0.7
R_5RN16121-PV,deg F,0,2000,504.9877,52.97733,Hard to Compress,-,10/10/2019 9:15:27 AM,305767,7 (7) s,1,0 s,10 m,2,0 s,8 h,60.5,139736,45.70016,,0.06750952,0 s,10 m,0.135019,0 s,97.9,290356,94.95988,,,37.4
R_5RPDT6250B-PV,,-15,30,7.780514,1.403534,Hard to Compress,-,10/10/2019 9:17:09 AM,41629,2 (2) s,0,0 s,10 m,0.018,0 s,8 h,87.9,31442,75.52908,,0.001286957,0 s,10 m,0.002573914,0 s,98.4,39909,95.86826,,,10.5
P_2PFIC5792-P_PV,pH,0,14,0,23.90971,-,-,9/26/2019 10:36:33 AM,46283,4 (4) s,0.0035,0 s,1 m,0.007,0 s,5 m,99.6,41300,89.23363,,0.05575375,0 s,1 m,0.1115075,0 s,85.7,13886,30.00238,,,-13.9
R_0ZTI3510-PV,DEGF,0,300,93.71452,189.1506,-,-,9/26/2019 10:35:18 AM,119345,1 (1) s,0.0001,0 s,10 m,0.0002,0 s,8 h,100,119269,99.93632,,0.1266411,0 s,10 m,0.2532822,0 s,87.5,68909,57.73933,,,-12.5
R_5ZII8131.PV,,-1000,1000,62.85715,13.73626,Hard to Compress,-,10/15/2019 11:46:35 AM,69519,5 (5) s,0,0 s,10 m,0,0 s,8 h,99.8,68730,98.86506,,0.01098908,0 s,10 m,0.02197815,0 s,100,67249,96.73471,,,0.2
R_5RTI2040Q-PV,DEGF,500,350,634.7256,120.0373,-,-,10/10/2019 9:16:09 AM,223389,2 (2) s,1.75,0 s,10 m,3.5,0 s,8 h,61.4,4961,2.22079,,0.1121933,0 s,10 m,0.2243866,0 s,91.8,36559,16.36562,,,30.4
P_0DAI7048-PV,PPM,0,25,24.89474,0.03861046,Hard to Compress,-,10/23/2019 6:04:53 PM,996906,4 (4) s,0.125,0 s,10 m,0.25,0 s,8 h,12.3,39,0.003912104,,1.66502E-05,0 s,10 m,3.33004E-05,0 s,97,919853,92.27078,,,84.7
R_6ZPI15111-PV,INHG,-29.9214,45,-18.5521,7.019159,-,-,10/15/2019 11:45:25 AM,754686,2 (2) s,4.5E-05,0 s,1 m,9E-05,0 s,5 m,100,753992,99.90804,,0.01598813,0 s,1 m,0.03197625,0 s,85.9,125553,16.63646,,,-14.1
R_5ZBPR14938A-PV,DEGF,0,35,5.67421,12.60756,Hard to Compress,-,10/15/2019 11:45:54 AM,34012,7 (7) s,0,0 s,10 m,0.35,0 s,8 h,46.2,1830,5.380454,,0.006447602,0 s,10 m,0.0128952,0 s,96.4,30831,90.64742,,,50.2
R_5RTIC6269B-ESP,gpd,0,1000,560,149.8907,-,-,10/10/2019 9:20:12 AM,28015,2 (2) s,0,0 s,10 m,0.5999999,0 s,8 h,92.5,11809,42.15242,,0.355679,0 s,10 m,0.7113581,0 s,85.6,10884,38.85061,,,-6.9
P_5DFIC7187_PV,GPM,0,1000,-0.02660868,9.793633,-,-,10/15/2019 11:48:39 AM,60923,2 (2) s,0.0001,0 s,10 m,0.0001,0 s,8 h,100,60622,99.50593,,0.01542009,0 s,10 m,0.03084018,0 s,89.5,18095,29.70143,,,-10.5
R_4RPI1287-PV,PSI,0,1500,987.5246,203.1884,Hard to Compress,-,10/10/2019 9:15:42 AM,72360,7 (7) s,0,0 s,18 h,15,0 s,8 h,10.4,4283,5.919016,,0.06548841,0 s,18 h,0.1309768,0 s,99.4,70901,97.9837,,,89
R_5RTIC6722-PV,DEGF,0,400,286.7936,20.147,-,-,10/10/2019 9:16:12 AM,117451,2 (2) s,0,0 s,1 m,0.24,0 s,5 m,80.6,11615,9.88923,,0.04461823,0 s,1 m,0.08923645,0 s,86,60777,51.74669,,,5.4
R_6ZBPR15075-PV,DEGF,0,35,4.833237,10.74759,-,-,10/23/2019 11:38:01 PM,997871,2 (2) s,3.5E-05,0 s,1 m,6.999999E-05,0 s,5 m,100,997613,99.97414,,0.02466892,0 s,1 m,0.04933784,0 s,85.1,504223,50.52988,,,-14.9
P_2PAI5780B-PV,PPM,0,25,-0.3756613,14.2593,Check Signal,-,9/26/2019 10:35:31 AM,6030,4 (4) s,0.125,0 s,10 m,0.25,0 s,8 h,76.9,163,2.703151,,0.0008169206,0 s,10 m,0.001633841,0 s,92.6,5095,84.49419,,,15.7
0HLI15006.PV,INCHES,0,66,18.26911,52.24265,-,-,10/15/2019 11:47:13 AM,43602,6 (6) s,0,0 s,10 m,0,0 s,8 h,100,43595,99.98395,,0.2200777,0 s,10 m,0.4401554,0 s,85.4,7970,18.27898,,,-14.6
R_3RLI7517-PV,%,0,100,-1.210415,104.8354,-,Stale,10/15/2019 3:10:15 PM,300,7 (7) s,0,0 s,10 m,1,0 s,8 h,88,28,9.333333,,0.3318166,0 s,10 m,0.6636331,0 s,91.9,39,13,,,3.9
R_5RTI6317S-PV,,0,200,85.94152,42.22327,-,-,10/10/2019 9:23:32 AM,12948,2 (2) s,0,0 s,10 m,0.12,0 s,8 h,92.1,643,4.966018,,0.02237721,0 s,10 m,0.04475441,0 s,94.3,1411,10.89744,,,2.2
R_5RTI2040B-PV,DEGF,500,350,651.1621,169.5625,-,-,10/10/2019 9:17:06 AM,118174,2 (2) s,1.75,0 s,10 m,3.5,0 s,8 h,67.7,6334,5.359893,,0.2141577,0 s,10 m,0.4283155,0 s,88,26297,22.25278,,,20.3
R_5RTI6352M-PV,,0,1000,504.4644,187.4558,-,-,10/10/2019 9:16:49 AM,39053,2 (2) s,0,0 s,10 m,0.5999999,0 s,8 h,91.9,6289,16.10376,,0.2422849,0 s,10 m,0.4845698,0 s,87.7,7310,18.71815,,,-4.2
R_4RPI1351-PV,PSI,0,200,11.62752,192.4168,Hard to Compress,-,10/10/2019 9:20:45 AM,36999,7 (7) s,0,0 s,18 h,2,0 s,8 h,85.9,7702,20.81678,,0.02197495,0 s,18 h,0.04394989,0 s,96.6,34308,92.72683,,,10.7
R_6ZTIC15247-VL,,0,100,27.59398,75.40602,-,-,10/21/2019 6:39:08 PM,997620,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,993553,99.59233,,0.02453698,0 s,1 m,0.04907397,0 s,96.7,17790,1.783244,,,-3.3
R_4RTI7118-PV,DEGF,0,1200,307.6034,182.8448,-,-,10/10/2019 9:16:16 AM,10341,7 (7) s,0,0 s,10 m,12,0 s,8 h,44.7,120,1.160429,,0.2678567,0 s,10 m,0.5357135,0 s,86.2,2220,21.46794,,,41.5
R_6ZLIC15225-PV,PCT,0,100,-0.6363409,94.95589,-,-,10/24/2019 5:39:26 PM,996729,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,996559,99.98295,,0.03098336,0 s,1 m,0.06196671,0 s,85.7,363585,36.47782,,,-14.3
R_4RFI9839-PV,GPM,0,60,0,21.7069,-,-,10/10/2019 9:15:30 AM,118437,7 (7) s,0.3000001,0 s,10 m,0.6,0 s,8 h,72.1,33059,27.91273,,0.1585449,0 s,10 m,0.3170897,0 s,85.3,68504,57.84003,,,13.2
P_0PPIC6670C-VL,%,0,100,21.69047,35.86589,-,-,10/15/2019 11:45:36 AM,268903,7 (7) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,268716,99.93046,,0.1059535,0 s,1 m,0.2119069,0 s,85.8,139632,51.92653,,,-14.2
R_5RTI2040T-PV,DEGF,500,350,642.4058,138.502,-,-,10/10/2019 9:16:19 AM,378638,2 (2) s,1.75,0 s,10 m,3.5,0 s,8 h,63.8,6008,1.58674,,0.0924729,0 s,10 m,0.1849458,0 s,93.4,51634,13.63677,,,29.6
R_4RTI7117A-PV,DEGF,0,1400,371.5312,790.1888,-,-,10/10/2019 9:16:00 AM,84978,7 (7) s,0,0 s,10 m,14,0 s,8 h,70.9,10891,12.81626,,1.45762,0 s,10 m,2.915241,0 s,85.5,35535,41.8167,,,14.6
P_2PAI5781B-PV,PPM,0,25,-0.3177196,26.22397,Check Signal,-,9/26/2019 10:42:37 AM,90628,4 (4) s,0.125,0 s,10 m,0.25,0 s,8 h,91.1,34910,38.5201,,0.09017301,0 s,10 m,0.180346,0 s,90.7,68161,75.20965,,,-0.4
R_4RLIC9966-PV,%,0,100,88.37014,2.551376,Hard to Compress,-,10/10/2019 9:18:49 AM,10793,7 (7) s,0,0 s,1 m,0.0002,0 s,5 m,100,10770,99.7869,,0.001051422,0 s,1 m,0.002102844,0 s,97.9,10581,98.03577,,,-2.1
R_5RTI2040R-PV,DEGF,500,350,636.176,126.9007,-,-,10/10/2019 9:16:08 AM,492541,2 (2) s,1.75,0 s,10 m,3.5,0 s,8 h,62.1,5086,1.032604,,0.1092793,0 s,10 m,0.2185587,0 s,91.9,39456,8.010703,,,29.8
R_5RII6173,Amps,0,50,64.04533,52.59847,Hard to Compress,-,10/15/2019 11:45:42 AM,212691,3 (3) s,0,0 s,10 m,0.5,0 s,8 h,94.2,186810,87.83164,,0.04753314,0 s,10 m,0.09506627,0 s,99,208646,98.09818,,,4.8
R_6ZPI14982-PV,INWC,-30,60,-1.395832,4,Check Signal,-,10/20/2019 9:22:07 PM,998330,2 (2) s,6E-05,0 s,1 m,0.00012,0 s,5 m,100,996830,99.84975,,0.007708339,0 s,1 m,0.01541668,0 s,92.3,643524,64.46005,,,-7.7
R_4RDIC1251-PV,BE,0,30,3.068612,20.05611,-,-,10/10/2019 9:15:32 AM,624122,7 (7) s,0,0 s,1 m,0,0 s,5 m,100,624118,99.99936,,0.01239892,0 s,1 m,0.02479783,0 s,85.7,264394,42.36255,,,-14.3
R_6ZLI15094-PV,PCT,0,100,47.90836,17.08036,-,-,10/15/2019 11:45:24 AM,949777,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,948933,99.91113,,0.03228612,0 s,1 m,0.06457224,0 s,86.2,217568,22.90727,,,-13.8
R_4RFIC9003-VL,%,0,100,0,100,-,-,10/10/2019 9:17:53 AM,9717,7 (7) s,0,0 s,10 m,1,0 s,8 h,84.8,324,3.334363,,0.1163395,0 s,10 m,0.232679,0 s,85.4,2013,20.71627,,,0.6
